,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Ambanja,54,MG,1567108209,73,-13.68,48.45,77.53,5.41
1,Brae,100,GB,1567108210,87,60.4,-1.35,57.2,21.92
2,Iqaluit,90,CA,1567108211,93,63.75,-68.52,39.2,21.92
3,Morant Bay,40,JM,1567108212,62,17.88,-76.41,87.8,11.41
4,Logrono,0,ES,1567108213,69,42.47,-2.45,77.0,1.12
5,Tuatapere,100,NZ,1567108215,88,-46.13,167.69,44.01,7.0
6,Rikitea,5,PF,1567108216,77,-23.12,-134.97,70.15,22.39
7,Thompson,75,CA,1567108120,41,55.74,-97.86,60.8,26.4
8,Tuktoyaktuk,75,CA,1567108219,64,69.44,-133.03,39.2,3.36
9,Ushuaia,75,AR,1567108047,97,-54.81,-68.31,39.2,19.46
10,Bathsheba,40,BB,1567108221,70,13.22,-59.52,86.0,12.75
11,Cognac,0,FR,1567108222,53,45.69,-0.33,75.2,6.93
12,Hilo,90,US,1567108223,69,19.71,-155.08,80.01,6.93
13,Hobart,40,AU,1567108224,86,-42.88,147.33,39.2,9.17
14,Monroe,1,US,1567108226,32,41.91,-83.4,81.0,13.87
15,Upata,29,VE,1567108227,58,8.02,-62.41,91.99,3.0
16,Butaritari,100,KI,1567108228,69,3.07,172.79,84.55,7.7
17,Camabatela,80,AO,1567108229,93,-8.19,15.37,67.99,1.21
18,Prince Rupert,20,CA,1567108231,93,54.32,-130.32,55.4,3.36
19,Sorong,77,ID,1567108232,94,-0.86,131.25,72.67,6.11
20,Atuona,10,PF,1567108233,73,-9.8,-139.03,80.05,21.09
21,Busselton,20,AU,1567108068,66,-33.64,115.35,55.99,27.87
22,Saint-Philippe,90,CA,1567108235,64,45.36,-73.48,78.01,10.56
23,Hobyo,21,SO,1567108236,78,5.35,48.53,76.09,21.99
24,Alihe,0,CN,1567108238,87,50.57,123.73,47.65,3.0
25,Ojinaga,1,US,1567108239,30,29.56,-104.41,96.01,10.29
26,Mount Gambier,0,AU,1567108240,93,-37.83,140.78,35.6,4.7
27,Lock Haven,40,US,1567107997,47,41.14,-77.45,79.0,5.82
28,Kapaa,20,US,1567108243,70,22.08,-159.32,84.2,5.82
29,Vila Velha,20,BR,1567108244,48,-3.71,-38.6,86.0,14.99
30,Torbay,90,CA,1567108245,87,47.66,-52.73,57.2,10.29
31,Tiksi,37,RU,1567108247,81,71.64,128.87,35.41,16.2
32,Hermanus,2,ZA,1567108248,88,-34.42,19.24,53.01,1.99
33,Zhanaozen,0,KZ,1567108251,51,43.35,52.85,56.11,7.43
34,Mwense,0,ZM,1567108252,24,-10.39,28.7,70.15,6.76
35,Pisco,20,PE,1567108254,30,-13.71,-76.2,71.6,11.41
36,Ajdabiya,0,LY,1567108255,79,30.75,20.22,78.97,15.37
37,Harper,1,US,1567108256,26,30.3,-99.24,99.0,3.36
38,Veraval,0,FR,1567108257,63,49.65,0.71,62.6,5.82
39,Codrington,90,AU,1567108259,87,-28.95,153.24,57.99,1.99
40,Ribeira Grande,20,PT,1567108260,64,38.52,-28.7,73.4,4.7
41,Mataura,99,NZ,1567108261,88,-46.19,168.86,44.01,7.0
42,Ketchikan,1,US,1567108263,67,55.34,-131.65,66.2,18.34
43,Bluff,1,AU,1567108264,70,-23.58,149.07,58.99,6.26
44,Hambantota,100,LK,1567108265,81,6.12,81.12,80.59,19.91
45,Mehriz,0,IR,1567108266,12,31.58,54.44,87.8,6.93
46,Ixtapa,40,MX,1567108268,66,20.71,-105.21,91.4,6.93
47,Jamestown,0,AU,1567108269,85,-33.21,138.6,38.29,9.13
48,Bambous Virieux,75,MU,1567108270,88,-20.34,57.76,73.0,9.17
49,Bima,73,ID,1567108271,96,-8.45,118.73,63.49,1.81
50,Albany,40,US,1567108095,39,42.65,-73.75,79.0,17.22
51,Assiniboia,13,CA,1567108274,41,49.63,-105.99,66.19,12.73
52,Hervey Bay,0,AU,1567108275,93,-25.3,152.85,57.2,6.93
53,Clyde River,75,CA,1567108276,87,70.47,-68.59,48.2,20.8
54,Portovelo,75,EC,1567108278,44,-3.72,-79.62,80.6,11.41
55,Port Elizabeth,1,US,1567108279,42,39.31,-74.98,86.0,12.75
56,Saint George,20,GR,1567108280,53,39.45,22.34,75.2,11.41
57,Troyes,0,FR,1567108281,68,48.3,4.07,68.0,3.36
58,Mawlaik,97,MM,1567108282,80,23.63,94.42,73.93,3.71
59,Ilulissat,5,GL,1567108284,36,69.22,-51.1,44.6,2.24
60,Bethel,40,US,1567108285,81,60.79,-161.76,51.8,4.7
61,Kavieng,61,PG,1567108286,78,-2.57,150.8,82.03,4.68
62,Rockport,1,US,1567108288,56,28.02,-97.05,93.99,13.87
63,Srednekolymsk,100,RU,1567108289,84,67.46,153.71,33.25,9.55
